Country.Region,Province.State,confirmed_sorted,recovered_sorted,deaths_sorted
Afghanistan,total,TRUE,TRUE,TRUE
Albania,total,TRUE,TRUE,TRUE
Algeria,total,TRUE,FALSE,TRUE
Andorra,total,TRUE,FALSE,TRUE
Angola,total,TRUE,TRUE,TRUE
Antigua and Barbuda,total,TRUE,TRUE,TRUE
Argentina,total,TRUE,TRUE,TRUE
Armenia,total,TRUE,TRUE,TRUE
Australia,Australian Capital Territory,TRUE,TRUE,TRUE
Australia,New South Wales,TRUE,TRUE,TRUE
Australia,Northern Territory,FALSE,TRUE,TRUE
Australia,Queensland,FALSE,TRUE,TRUE
Australia,South Australia,TRUE,TRUE,TRUE
Australia,Tasmania,TRUE,TRUE,TRUE
Australia,total,TRUE,TRUE,TRUE
Australia,Victoria,TRUE,TRUE,TRUE
Australia,Western Australia,TRUE,TRUE,TRUE
Austria,total,TRUE,FALSE,TRUE
Azerbaijan,total,TRUE,FALSE,TRUE
Bahamas,total,TRUE,FALSE,TRUE
Bahrain,total,TRUE,TRUE,TRUE
Bangladesh,total,TRUE,TRUE,TRUE
Barbados,total,TRUE,TRUE,TRUE
Belarus,total,TRUE,TRUE,TRUE
Belgium,total,TRUE,FALSE,TRUE
Belize,total,TRUE,TRUE,TRUE
Benin,total,TRUE,TRUE,TRUE
Bhutan,total,TRUE,TRUE,TRUE
Bolivia,total,TRUE,TRUE,TRUE
Bosnia and Herzegovina,total,TRUE,TRUE,TRUE
Botswana,total,TRUE,TRUE,TRUE
Brazil,total,TRUE,TRUE,TRUE
Brunei,total,TRUE,TRUE,TRUE
Bulgaria,total,TRUE,TRUE,TRUE
Burkina Faso,total,TRUE,TRUE,TRUE
Burma,total,TRUE,TRUE,TRUE
Burundi,total,TRUE,TRUE,TRUE
Cabo Verde,total,TRUE,TRUE,TRUE
Cambodia,total,TRUE,TRUE,TRUE
Cameroon,total,TRUE,TRUE,TRUE
Canada,Alberta,FALSE,NA,TRUE
Canada,British Columbia,TRUE,NA,TRUE
Canada,Diamond Princess,TRUE,NA,TRUE
Canada,Grand Princess,TRUE,NA,TRUE
Canada,Manitoba,TRUE,NA,TRUE
Canada,New Brunswick,TRUE,NA,TRUE
Canada,Newfoundland and Labrador,TRUE,NA,TRUE
Canada,Northwest Territories,TRUE,NA,TRUE
Canada,Nova Scotia,TRUE,NA,TRUE
Canada,Ontario,TRUE,NA,TRUE
Canada,Prince Edward Island,TRUE,NA,TRUE
Canada,Quebec,TRUE,NA,FALSE
Canada,Recovered,TRUE,NA,TRUE
Canada,Saskatchewan,TRUE,NA,TRUE
Canada,total,TRUE,NA,TRUE
Canada,Yukon,TRUE,NA,TRUE
Central African Republic,total,TRUE,TRUE,TRUE
Chad,total,TRUE,TRUE,TRUE
Chile,total,TRUE,TRUE,TRUE
China,Anhui,TRUE,TRUE,TRUE
China,Beijing,TRUE,TRUE,TRUE
China,Chongqing,TRUE,TRUE,TRUE
China,Fujian,TRUE,TRUE,TRUE
China,Gansu,TRUE,TRUE,TRUE
China,Guangdong,TRUE,TRUE,TRUE
China,Guangxi,TRUE,FALSE,TRUE
China,Guizhou,FALSE,FALSE,TRUE
China,Hainan,TRUE,FALSE,TRUE
China,Hebei,TRUE,TRUE,TRUE
China,Heilongjiang,TRUE,FALSE,TRUE
China,Henan,TRUE,TRUE,TRUE
China,Hong Kong,TRUE,FALSE,TRUE
China,Hubei,TRUE,TRUE,TRUE
China,Hunan,TRUE,TRUE,TRUE
China,Inner Mongolia,TRUE,TRUE,TRUE
China,Jiangsu,TRUE,TRUE,TRUE
China,Jiangxi,TRUE,TRUE,TRUE
China,Jilin,TRUE,TRUE,TRUE
China,Liaoning,TRUE,TRUE,TRUE
China,Macau,TRUE,TRUE,TRUE
