Country.Region,Province.State,date,confirmed,recovered,deaths,hospitalized_symptoms,isolated_at_home,tested,close_observation,suspected,hospitalized_intensive,active,recoveries
Afghanistan,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Albania,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Algeria,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Andorra,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Angola,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Antigua and Barbuda,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Argentina,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Armenia,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Australia,Australian Capital Territory,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Australia,New South Wales,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Australia,Northern Territory,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Australia,Queensland,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Australia,South Australia,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Australia,Tasmania,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Australia,Victoria,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Australia,Western Australia,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Austria,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Azerbaijan,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Bahamas,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Bahrain,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Bangladesh,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Barbados,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Belarus,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Belgium,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Belize,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Benin,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Bhutan,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Bolivia,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Bosnia and Herzegovina,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Brazil,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
Brunei,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,0,NA
