"","Country.Region","Province.State","date","confirmed","recovered","deaths","isolated_at_home","suspected","hospitalized_intensive","active","susc_not_ill"
"1","China","Hubei",2020-01-22,444,28,17,NA,NA,NA,399,59019556
"2","China","Hubei",2020-01-23,444,28,17,NA,NA,NA,399,59019556
"3","China","Hubei",2020-01-24,549,31,24,NA,NA,NA,494,59019451
"4","China","Hubei",2020-01-25,761,32,40,NA,NA,NA,689,59019239
"5","China","Hubei",2020-01-26,1058,42,52,NA,NA,NA,964,59018942
"6","China","Hubei",2020-01-27,1423,45,76,NA,NA,NA,1302,59018577
"7","China","Hubei",2020-01-28,3554,80,125,NA,NA,NA,3349,59016446
"8","China","Hubei",2020-01-29,3554,88,125,NA,NA,NA,3341,59016446
"9","China","Hubei",2020-01-30,4903,90,162,NA,NA,NA,4651,59015097
"10","China","Hubei",2020-01-31,5806,141,204,NA,NA,NA,5461,59014194
"11","China","Hubei",2020-02-01,7153,168,249,NA,NA,NA,6736,59012847
"12","China","Hubei",2020-02-02,11177,295,350,NA,NA,1579,10532,59008823
"13","China","Hubei",2020-02-03,13522,386,414,NA,NA,1718,12722,59006478
"14","China","Hubei",2020-02-04,16678,522,479,NA,NA,2160,15677,59003322
"15","China","Hubei",2020-02-05,19665,633,549,NA,NA,2537,18483,59000335
"16","China","Hubei",2020-02-06,22112,817,618,NA,NA,3101,20677,58997888
"17","China","Hubei",2020-02-07,24953,1115,699,NA,NA,4019,23139,58995047
"18","China","Hubei",2020-02-08,27100,1439,780,NA,NA,5212,24881,58992900
"19","China","Hubei",2020-02-09,29631,1795,871,NA,NA,5264,26965,58990369
"20","China","Hubei",2020-02-10,31728,2222,974,NA,NA,5522,28532,58988272
"21","China","Hubei",2020-02-11,33366,2639,1068,NA,NA,6361,29659,58986634
"22","China","Hubei",2020-02-12,33366,2686,1068,NA,NA,7258,29612,58986634
"23","China","Hubei",2020-02-13,48206,3459,1310,NA,9028,7084,43437,58971794
"24","China","Hubei",2020-02-14,54406,4774,1457,NA,6169,9278,48175,58965594
"25","China","Hubei",2020-02-15,56249,5623,1596,NA,5534,10152,49030,58963751
"26","China","Hubei",2020-02-16,58182,6639,1696,NA,5243,10396,49847,58961818
"27","China","Hubei",2020-02-17,59989,7862,1789,NA,4826,9977,50338,58960011
"28","China","Hubei",2020-02-18,61682,9128,1921,NA,4194,10970,50633,58958318
"29","China","Hubei",2020-02-19,62031,10337,2029,NA,3462,11246,49665,58957969
"30","China","Hubei",2020-02-20,62442,11788,2144,NA,3456,11178,48510,58957558
"31","China","Hubei",2020-02-21,62662,11881,2144,NA,4094,10997,48637,58957338
"32","China","Hubei",2020-02-22,64084,15299,2346,NA,3456,10892,46439,58955916
"33","China","Hubei",2020-02-23,64084,15343,2346,NA,3363,10428,46395,58955916
"34","China","Hubei",2020-02-24,64287,16748,2495,NA,2770,9430,45044,58955713
"35","China","Hubei",2020-02-25,64786,18971,2563,NA,2292,8675,43252,58955214
"36","China","Hubei",2020-02-26,65187,20969,2615,NA,2067,8326,41603,58954813
"37","China","Hubei",2020-02-27,65596,23383,2641,NA,2019,7984,39572,58954404
"38","China","Hubei",2020-02-28,65914,26403,2682,NA,1989,7633,36829,58954086
"39","China","Hubei",2020-02-29,66337,28993,2727,NA,1171,7370,34617,58953663
"40","China","Hubei",2020-03-01,66907,31536,2761,NA,646,7107,32610,58953093
"41","China","Hubei",2020-03-02,67103,33934,2803,NA,527,6872,30366,58952897
"42","China","Hubei",2020-03-03,67217,36208,2835,NA,434,6593,28174,58952783
"43","China","Hubei",2020-03-04,67332,38557,2871,NA,340,6232,25904,58952668
"44","China","Hubei",2020-03-05,67466,40592,2902,NA,315,5788,23972,58952534
"45","China","Hubei",2020-03-06,67592,42033,2931,NA,285,5588,22628,58952408
"46","China","Hubei",2020-03-07,67666,43500,2959,NA,301,5359,21207,58952334
"47","China","Hubei",2020-03-08,67707,45235,2986,NA,295,5140,19486,58952293
"48","China","Hubei",2020-03-09,67743,46488,3008,NA,277,4991,18247,58952257
"49","China","Hubei",2020-03-10,67760,47743,3024,NA,246,4701,16993,58952240
"50","China","Hubei",2020-03-11,67773,49134,3046,NA,198,4412,15593,58952227
"51","China","Hubei",2020-03-12,67781,50318,3056,NA,158,4180,14407,58952219
"52","China","Hubei",2020-03-13,67786,51553,3062,NA,49,3948,13171,58952214
"53","China","Hubei",2020-03-14,67790,52960,3075,NA,34,3543,11755,58952210
"54","China","Hubei",2020-03-15,67794,54288,3085,NA,18,3163,10421,58952206
"55","China","Hubei",2020-03-16,67798,55142,3099,NA,18,2975,9557,58952202
"56","China","Hubei",2020-03-17,67799,56003,3111,NA,3,2782,8685,58952201
"57","China","Hubei",2020-03-18,67800,56927,3122,NA,0,2580,7751,58952200
"58","China","Hubei",2020-03-19,67800,57682,3130,NA,0,2274,6988,58952200
"59","China","Hubei",2020-03-20,67800,58382,3133,NA,0,2098,6285,58952200
"60","China","Hubei",2020-03-21,67800,58946,3139,NA,0,1927,5715,58952200
"61","China","Hubei",2020-03-22,67800,59433,3144,NA,0,1812,5223,58952200
"62","China","Hubei",2020-03-23,67800,59879,3153,NA,0,1714,4768,58952200
