Country.Region,Province.State,date,confirmed,recovered,deaths,hospitalized_intensive,isolated_at_home,suspected,serious_cases,active,alpha3,susc_not_ill
China,Hubei,2020-01-22,444,28,17,NA,NA,NA,NA,399,CHN,59019556
China,Hubei,2020-01-23,444,28,17,NA,NA,NA,NA,399,CHN,59019556
China,Hubei,2020-01-24,549,31,24,NA,NA,NA,NA,494,CHN,59019451
China,Hubei,2020-01-25,761,32,40,NA,NA,NA,NA,689,CHN,59019239
China,Hubei,2020-01-26,1058,42,52,NA,NA,NA,NA,964,CHN,59018942
China,Hubei,2020-01-27,1423,45,76,NA,NA,NA,NA,1302,CHN,59018577
China,Hubei,2020-01-28,3554,80,125,NA,NA,NA,NA,3349,CHN,59016446
China,Hubei,2020-01-29,3554,88,125,NA,NA,NA,NA,3341,CHN,59016446
China,Hubei,2020-01-30,4903,90,162,NA,NA,NA,NA,4651,CHN,59015097
China,Hubei,2020-01-31,5806,141,204,NA,NA,NA,NA,5461,CHN,59014194
China,Hubei,2020-02-01,7153,168,249,NA,NA,NA,NA,6736,CHN,59012847
China,Hubei,2020-02-02,11177,295,350,NA,NA,NA,1579,10532,CHN,59008823
China,Hubei,2020-02-03,13522,386,414,NA,NA,NA,1718,12722,CHN,59006478
China,Hubei,2020-02-04,16678,522,479,NA,NA,NA,2160,15677,CHN,59003322
China,Hubei,2020-02-05,19665,633,549,NA,NA,NA,2537,18483,CHN,59000335
China,Hubei,2020-02-06,22112,817,618,NA,NA,NA,3101,20677,CHN,58997888
China,Hubei,2020-02-07,24953,1115,699,NA,NA,NA,4019,23139,CHN,58995047
China,Hubei,2020-02-08,27100,1439,780,NA,NA,NA,5212,24881,CHN,58992900
China,Hubei,2020-02-09,29631,1795,871,NA,NA,NA,5264,26965,CHN,58990369
China,Hubei,2020-02-10,31728,2222,974,NA,NA,NA,5522,28532,CHN,58988272
China,Hubei,2020-02-11,33366,2639,1068,NA,NA,NA,6361,29659,CHN,58986634
China,Hubei,2020-02-12,33366,2686,1068,NA,NA,NA,7258,29612,CHN,58986634
China,Hubei,2020-02-13,48206,3459,1310,NA,NA,9028,7084,43437,CHN,58971794
China,Hubei,2020-02-14,54406,4774,1457,NA,NA,6169,9278,48175,CHN,58965594
China,Hubei,2020-02-15,56249,5623,1596,NA,NA,5534,10152,49030,CHN,58963751
China,Hubei,2020-02-16,58182,6639,1696,NA,NA,5243,10396,49847,CHN,58961818
China,Hubei,2020-02-17,59989,7862,1789,NA,NA,4826,9977,50338,CHN,58960011
China,Hubei,2020-02-18,61682,9128,1921,NA,NA,4194,10970,50633,CHN,58958318
China,Hubei,2020-02-19,62031,10337,2029,NA,NA,3462,11246,49665,CHN,58957969
China,Hubei,2020-02-20,62442,11788,2144,NA,NA,3456,11178,48510,CHN,58957558
China,Hubei,2020-02-21,62662,11881,2144,NA,NA,4094,10997,48637,CHN,58957338
China,Hubei,2020-02-22,64084,15299,2346,NA,NA,3456,10892,46439,CHN,58955916
China,Hubei,2020-02-23,64084,15343,2346,NA,NA,3363,10428,46395,CHN,58955916
China,Hubei,2020-02-24,64287,16748,2495,NA,NA,2770,9430,45044,CHN,58955713
China,Hubei,2020-02-25,64786,18971,2563,NA,NA,2292,8675,43252,CHN,58955214
China,Hubei,2020-02-26,65187,20969,2615,NA,NA,2067,8326,41603,CHN,58954813
China,Hubei,2020-02-27,65596,23383,2641,NA,NA,2019,7984,39572,CHN,58954404
China,Hubei,2020-02-28,65914,26403,2682,NA,NA,1989,7633,36829,CHN,58954086
China,Hubei,2020-02-29,66337,28993,2727,NA,NA,1171,7370,34617,CHN,58953663
China,Hubei,2020-03-01,66907,31536,2761,NA,NA,646,7107,32610,CHN,58953093
China,Hubei,2020-03-02,67103,33934,2803,NA,NA,527,6872,30366,CHN,58952897
China,Hubei,2020-03-03,67217,36208,2835,NA,NA,434,6593,28174,CHN,58952783
China,Hubei,2020-03-04,67332,38557,2871,NA,NA,340,6232,25904,CHN,58952668
China,Hubei,2020-03-05,67466,40592,2902,NA,NA,315,5788,23972,CHN,58952534
China,Hubei,2020-03-06,67592,42033,2931,NA,NA,285,5588,22628,CHN,58952408
China,Hubei,2020-03-07,67666,43500,2959,NA,NA,301,5359,21207,CHN,58952334
China,Hubei,2020-03-08,67707,45235,2986,NA,NA,295,5140,19486,CHN,58952293
China,Hubei,2020-03-09,67743,46488,3008,NA,NA,277,4991,18247,CHN,58952257
China,Hubei,2020-03-10,67760,47743,3024,NA,NA,246,4701,16993,CHN,58952240
China,Hubei,2020-03-11,67773,49134,3046,NA,NA,198,4412,15593,CHN,58952227
China,Hubei,2020-03-12,67781,50318,3056,NA,NA,158,4180,14407,CHN,58952219
China,Hubei,2020-03-13,67786,51553,3062,NA,NA,49,3948,13171,CHN,58952214
China,Hubei,2020-03-14,67790,52960,3075,NA,NA,34,3543,11755,CHN,58952210
China,Hubei,2020-03-15,67794,54288,3085,NA,NA,18,3163,10421,CHN,58952206
China,Hubei,2020-03-16,67798,55142,3099,NA,NA,18,2975,9557,CHN,58952202
China,Hubei,2020-03-17,67799,56003,3111,NA,NA,3,2782,8685,CHN,58952201
China,Hubei,2020-03-18,67800,56927,3122,NA,NA,0,2580,7751,CHN,58952200
China,Hubei,2020-03-19,67800,57682,3130,NA,NA,0,2274,6988,CHN,58952200
China,Hubei,2020-03-20,67800,58382,3133,NA,NA,0,2098,6285,CHN,58952200
China,Hubei,2020-03-21,67800,58946,3139,NA,NA,0,1927,5715,CHN,58952200
China,Hubei,2020-03-22,67800,59433,3153,NA,NA,0,1812,5214,CHN,58952200
China,Hubei,2020-03-23,67800,59879,3153,NA,NA,0,1714,4768,CHN,58952200
China,Hubei,2020-03-24,67801,60324,3160,NA,NA,0,1539,4317,CHN,58952199
China,Hubei,2020-03-25,67801,60811,3163,NA,NA,0,1368,3827,CHN,58952199
China,Hubei,2020-03-26,67801,61201,3169,NA,NA,0,1201,3431,CHN,58952199
China,Hubei,2020-03-27,67801,61732,3174,NA,NA,0,999,2895,CHN,58952199
China,Hubei,2020-03-28,67801,62098,3177,NA,NA,0,886,2526,CHN,58952199
China,Hubei,2020-03-29,67801,62570,3182,NA,NA,NA,NA,2049,CHN,58952199
China,Hubei,2020-03-30,67801,62889,3186,NA,NA,0,601,1726,CHN,58952199
China,Hubei,2020-03-31,67801,63153,3187,NA,NA,0,497,1461,CHN,58952199
China,Hubei,2020-04-01,67802,63326,3193,NA,NA,0,435,1283,CHN,58952198
China,Hubei,2020-04-02,67802,63471,3199,NA,NA,0,400,1132,CHN,58952198
China,Hubei,2020-04-03,67802,63612,3203,NA,NA,NA,NA,987,CHN,58952198
China,Hubei,2020-04-04,67803,63762,3207,NA,NA,NA,NA,834,CHN,58952197
China,Hubei,2020-04-05,67803,63945,3210,NA,NA,NA,NA,648,CHN,58952197
