Country.Region,Province.State,date,confirmed,recovered,deaths,hospitalized_intensive,hospitalized_symptoms,isolated_at_home,tested,close_observation,suspected,serious_cases,active,alpha3,susc_not_ill
Italy,Lombardia,2020-02-24,172,0,6,19,76,71,1463,NA,NA,NA,166,ITA,10060402
Italy,Lombardia,2020-02-25,240,0,9,25,79,127,3700,NA,NA,NA,231,ITA,10060334
Italy,Lombardia,2020-02-26,258,0,9,25,79,145,3208,NA,NA,NA,249,ITA,10060316
Italy,Lombardia,2020-02-27,403,40,14,41,172,136,3320,NA,NA,NA,349,ITA,10060171
Italy,Lombardia,2020-02-28,531,40,17,47,235,192,4835,NA,NA,NA,474,ITA,10060043
Italy,Lombardia,2020-02-29,615,40,23,80,256,216,5723,NA,NA,NA,552,ITA,10059959
Italy,Lombardia,2020-03-01,984,73,24,106,406,375,6879,NA,NA,NA,887,ITA,10059590
Italy,Lombardia,2020-03-02,1254,139,38,127,478,472,7925,NA,NA,NA,1077,ITA,10059320
Italy,Lombardia,2020-03-03,1520,139,55,167,698,461,9577,NA,NA,NA,1326,ITA,10059054
Italy,Lombardia,2020-03-04,1820,250,73,209,877,411,12138,NA,NA,NA,1497,ITA,10058754
Italy,Lombardia,2020-03-05,2251,376,98,244,1169,364,12354,NA,NA,NA,1777,ITA,10058323
Italy,Lombardia,2020-03-06,2612,469,135,309,1622,77,13556,NA,NA,NA,2008,ITA,10057962
Italy,Lombardia,2020-03-07,3420,524,154,359,1661,722,15778,NA,NA,NA,2742,ITA,10057154
Italy,Lombardia,2020-03-08,4189,550,267,399,2217,756,18534,NA,NA,NA,3372,ITA,10056385
Italy,Lombardia,2020-03-09,5469,646,333,440,2802,1248,20135,NA,NA,NA,4490,ITA,10055105
Italy,Lombardia,2020-03-10,5791,896,468,466,3319,642,21479,NA,NA,NA,4427,ITA,10054783
Italy,Lombardia,2020-03-11,7280,900,617,560,3852,1351,25629,NA,NA,NA,5763,ITA,10053294
Italy,Lombardia,2020-03-12,8725,1085,744,605,4247,2044,29534,NA,NA,NA,6896,ITA,10051849
Italy,Lombardia,2020-03-13,9820,1198,890,650,4435,2647,32700,NA,NA,NA,7732,ITA,10050754
Italy,Lombardia,2020-03-14,11685,1660,966,732,4898,3429,37138,NA,NA,NA,9059,ITA,10048889
Italy,Lombardia,2020-03-15,13272,2011,1218,767,5500,3776,40369,NA,NA,NA,10043,ITA,10047302
Italy,Lombardia,2020-03-16,14649,2368,1420,823,6171,3867,43565,NA,NA,NA,10861,ITA,10045925
Italy,Lombardia,2020-03-17,16220,2485,1640,879,6953,4263,46449,NA,NA,NA,12095,ITA,10044354
Italy,Lombardia,2020-03-18,17713,3488,1959,924,7285,4057,48983,NA,NA,NA,12266,ITA,10042861
Italy,Lombardia,2020-03-19,19884,3778,2168,1006,7387,5545,52244,NA,NA,NA,13938,ITA,10040690
Italy,Lombardia,2020-03-20,22264,4295,2549,1050,7735,6635,57174,NA,NA,NA,15420,ITA,10038310
Italy,Lombardia,2020-03-21,25515,5050,3095,1093,8258,8019,66730,NA,NA,NA,17370,ITA,10035059
Italy,Lombardia,2020-03-22,27206,5865,3456,1142,9439,7304,70598,NA,NA,NA,17885,ITA,10033368
Italy,Lombardia,2020-03-23,28761,6075,3776,1183,9266,8461,73242,NA,NA,NA,18910,ITA,10031813
Italy,Lombardia,2020-03-24,30703,6657,4178,1194,9711,8963,76695,NA,NA,NA,19868,ITA,10029871
Italy,Lombardia,2020-03-25,32346,7281,4474,1236,10026,9329,81666,NA,NA,NA,20591,ITA,10028228
Italy,Lombardia,2020-03-26,34889,7839,4861,1263,10681,10245,87713,NA,NA,NA,22189,ITA,10025685
Italy,Lombardia,2020-03-27,37298,8001,5402,1292,11137,11466,95860,NA,NA,NA,23895,ITA,10023276
Italy,Lombardia,2020-03-28,39415,8962,5944,1319,11152,12038,102503,NA,NA,NA,24509,ITA,10021159
Italy,Lombardia,2020-03-29,41007,9255,6360,1328,11613,12451,107398,NA,NA,NA,25392,ITA,10019567
Italy,Lombardia,2020-03-30,42161,10337,6818,1330,11815,11861,111057,NA,NA,NA,25006,ITA,10018413
Italy,Lombardia,2020-03-31,43208,10885,7199,1324,11883,11917,114640,NA,NA,NA,25124,ITA,10017366
Italy,Lombardia,2020-04-01,44773,11415,7593,1342,11927,12496,121449,NA,NA,NA,25765,ITA,10015801
Italy,Lombardia,2020-04-02,46065,12229,7960,1351,11762,12763,128286,NA,NA,NA,25876,ITA,10014509
Italy,Lombardia,2020-04-03,47520,13020,8311,1381,11802,13006,135051,NA,NA,NA,26189,ITA,10013054
Italy,Lombardia,2020-04-04,49118,13242,8656,1326,12002,13892,141877,NA,NA,NA,27220,ITA,10011456
Italy,Lombardia,2020-04-05,50455,13426,8905,1317,12009,14798,149984,NA,NA,NA,28124,ITA,10010119
